Destination Port, Flow Duration, Total Fwd Packets, Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Bwd Packet Length Max, Bwd Packet Length Min, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance, FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Std, Active Max, Active Min, Idle Std, Label
80,1.13446e+06,7,312,312,0,44.5714,1228,0,1494.99,10.5778,103132,305429,1.06806e+06,2,189076,393416,9,23401,5850.25,10096,23337,19,0,0,232,168,4.4074,0,1228,141.333,115830,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,1.13459e+06,7,549,549,0,78.4286,1302,0,1768.92,10.5765,103144,306662,1.07209e+06,1,189098,395166,10,22410,5602.5,9661.67,22337,20,0,0,232,168,4.40688,0,1302,167.25,140439,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,1.13486e+06,7,360,360,0,51.4286,1314,0,1612.54,10.574,103169,305426,1.06808e+06,2,189143,393398,15,23142,5785.5,9978.63,23069,20,0,0,232,168,4.40583,0,1314,152.5,133455,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,2.16021e+06,8,329,329,0,41.125,1324,0,837.418,6.01793,180018,389531,1.0801e+06,2,308602,469506,53,12073,3018.25,2993.38,6940,33,0,0,272,168,2.31459,0,1324,139.154,125679,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,3.18784e+06,9,906,453,0,100.667,1354,0,757.881,4.39169,245218,553302,1.91611e+06,7,398480,660614,28,204443,51110.8,87987.2,203508,34,0,0,304,168,1.56846,0,1354,172.571,132224,1,1,4,12,0,0.555556,32120,249,2,32,0,0,0,0,0,PortScan
80,3.19335e+06,7,471,471,0,67.2857,1378,0,627.867,3.75781,290305,905060,3.15212e+06,2,532226,1.17175e+06,16,898,224.5,323.556,784,20,0,0,232,168,1.56575,0,1378,167.083,150838,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,1.17207e+06,7,412,412,0,58.8571,1210,0,1516.97,10.2383,106552,322035,1.12417e+06,2,195345,415672,13,4487,1121.75,1895.59,4405,26,0,0,232,168,4.26596,0,1210,148.167,116228,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,2.19115e+06,8,449,449,0,56.125,1340,0,887.663,5.93296,182596,399244,1.12854e+06,3,313021,482104,19,3928,982,1612.84,3775,23,0,0,272,168,2.28191,0,1340,149.615,133118,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,3.21445e+06,8,699,699,0,87.375,1428,0,710.23,4.04424,267871,632527,2.14852e+06,3,459207,773309,15,3186,796.5,841.452,2035,20,0,0,272,168,1.55548,0,1428,175.615,165476,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,3.21872e+06,7,422,422,0,60.2857,1368,0,604.588,3.72819,292611,910791,3.17254e+06,4,536454,1.17899e+06,17,4432,1108,1636.53,3926,21,0,0,232,168,1.55341,0,1368,162.167,146522,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,117330,7,310,310,0,44.2857,1212,0,14301.5,102.276,10666.4,22156.4,69981,2,19555,26952,11,5867,1466.75,2502.96,5802,19,0,0,232,168,42.6148,0,1212,139.833,112895,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,117565,7,309,309,0,44.1429,1286,0,14893.9,102.071,10687.7,23058.6,74077,3,19594.2,28293.1,14,3398,849.5,1430.39,3327,21,0,0,232,168,42.5297,0,1286,145.917,126509,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,1.13479e+06,8,306,306,0,38.25,1320,0,1570.33,11.4558,94566.2,278936,1.01674e+06,3,162113,349901,18,2432,608,877.907,2119,23,0,0,272,168,4.40609,0,1320,137.077,124315,1,1,3,11,0,0.625,32120,249,1,32,0,0,0,0,0,PortScan
80,1.13495e+06,7,428,428,0,61.1429,1348,0,1702.28,10.5732,103177,306043,1.0701e+06,1,189158,394272,9,22982,5745.5,9915.12,22919,19,0,0,232,168,4.40548,0,1348,161,142798,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,1.13515e+06,7,337,337,0,48.1429,1244,0,1530.2,10.5713,103195,306039,1.07009e+06,2,189192,394259,14,22639,5659.75,9763.14,22570,20,0,0,232,168,4.40471,0,1244,144.75,119501,1,1,3,11,0,0.714286,32120,249,1,32,0,0,0,0,0,PortScan
80,2.16245e+06,6,295,295,0,49.1667,1274,0,797.708,4.62439,240272,448531,1.13537e+06,16,432489,528198,53,4770,1590,1816.42,4141,53,0,0,208,136,1.84976,0,1274,172.5,143687,1,1,3,8,0,0.666667,32120,249,1,32,0,0,0,0,0,PortScan
